label,category,FOI
Metras_2017,appli,NA
Metras_2020,appli,NA
Leedale_2016,appli,FR
Taylor_2016,appli,FR
Gao_2013,grey,MA
Xiao_2015,grey,MA
Chitnis_2013,theor,Hybrid1
Manore_Beechler_2015,grey,Hybrid1
Beechler_2015,appli,Hybrid1
Scoglio_2016,appli,NA
Sekamatte_2019,appli,NA
Gaff_2007,theor,FI
Miron_2016,grey,MA
Barker_2013,appli,FI
Xue_2012,appli,FI
Xue_2013b,appli,FI
Gaff_2011,theor,FI
Adongo_2013,theor,FI
Cavalerie_2015,grey,FR
Pedro_2014,theor,Hybrid1
Pedro_2017,theor,Hybrid1
Pedro_2016b,theor,Hybrid1
Mpeshe_2011,theor,FI
Mpeshe_2014,grey,FI
Niu_2012,theor,FI
EFSA_2020_1,appli,NA
Tennant_2021,appli,NA
